n_sentences,batch_size,avg_len,max_len,generation_method,masked_portion,max_iter,std_len,init_mask_prob,temperature,sample,top_k,mean_tbc,std_tbc,mean_wiki,std_wiki,count
50,10,40,50,parallel,1,100,0,0,0.1,False,0,0.046,0.003,0.060,0.004,5
50,10,40,50,parallel,1,500,5,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,1,500,5,0,10,True,100,0.022,0.001,0.023,0.001,5
50,10,40,50,parallel,1,500,5,1,0.1,False,0,0.110,0.077,0.033,0.008,5
50,10,40,50,parallel,1,500,5,1,0.1,True,0,0.112,0.041,0.057,0.010,5
50,10,40,50,parallel,1,500,5,1,0.1,True,100,0.124,0.064,0.066,0.021,5
50,10,40,50,parallel,1,500,5,1,1,False,0,0.076,0.015,0.069,0.027,5
50,10,40,50,parallel,1,500,5,1,1,True,0,0.064,0.006,0.071,0.006,5
50,10,40,50,parallel,1,500,5,1,1,True,100,0.088,0.012,0.073,0.005,5
50,10,40,50,parallel,1,500,5,1,10,False,0,0.108,0.065,0.051,0.025,5
50,10,40,50,parallel,1,500,5,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,1,500,5,1,10,True,100,0.028,0.002,0.026,0.002,5
50,10,40,50,parallel,1,100,5,1,10,True,100,0.029,0.003,0.029,0.002,5
50,10,40,50,parallel,1,500,0,0,0.1,False,0,0.063,0.005,0.073,0.006,5
50,10,40,50,parallel,1,500,0,0,0.1,True,0,0.059,0.004,0.072,0.004,5
50,10,40,50,parallel,1,500,0,0,0.1,True,100,0.052,0.004,0.066,0.007,5
50,10,40,50,parallel,1,500,0,0,1,False,0,0.059,0.005,0.073,0.015,5
50,10,40,50,parallel,1,500,0,0,1,True,0,0.047,0.005,0.055,0.006,5
50,10,40,50,parallel,1,500,0,0,1,True,100,0.051,0.005,0.067,0.005,5
50,10,40,50,parallel,1,500,0,0,10,False,0,0.060,0.006,0.074,0.007,5
50,10,40,50,parallel,1,500,0,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,1,500,0,0,10,True,100,0.023,0.002,0.023,0.001,5
50,10,40,50,parallel,1,500,0,1,0.1,False,0,0.188,0.070,0.053,0.016,5
50,10,40,50,parallel,1,500,0,1,0.1,True,0,0.161,0.073,0.058,0.009,5
50,10,40,50,parallel,1,500,0,1,0.1,True,100,0.104,0.056,0.055,0.008,5
50,10,40,50,parallel,1,500,0,1,1,False,0,0.159,0.047,0.051,0.015,5
50,10,40,50,parallel,1,500,0,1,1,True,0,0.067,0.011,0.065,0.005,5
50,10,40,50,parallel,1,500,0,1,1,True,100,0.079,0.009,0.070,0.005,5
50,10,40,50,parallel,1,500,0,1,10,False,0,0.160,0.078,0.060,0.024,5
50,10,40,50,parallel,1,500,0,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,1,500,0,1,10,True,100,0.029,0.002,0.027,0.002,5
50,10,40,50,parallel,1,500,5,0,0.1,False,0,0.057,0.009,0.073,0.007,5
50,10,40,50,parallel,1,500,5,0,0.1,True,0,0.053,0.005,0.070,0.006,5
50,10,40,50,parallel,1,500,5,0,0.1,True,100,0.058,0.007,0.076,0.005,5
50,10,40,50,parallel,1,500,5,0,1,False,0,0.058,0.007,0.077,0.006,5
50,10,40,50,parallel,1,500,5,0,1,True,0,0.050,0.009,0.060,0.008,5
50,10,40,50,parallel,1,500,5,0,1,True,100,0.052,0.006,0.067,0.004,5
50,10,40,50,parallel,1,500,5,0,10,False,0,0.059,0.005,0.077,0.004,5
50,10,40,50,parallel,1,100,0,0,0.1,True,0,0.051,0.003,0.061,0.006,5
50,10,40,50,parallel,1,100,0,0,0.1,True,100,0.052,0.004,0.062,0.004,5
50,10,40,50,parallel,1,100,0,0,1,False,0,0.048,0.004,0.060,0.008,5
50,10,40,50,parallel,1,100,0,0,1,True,0,0.025,0.002,0.029,0.003,5
50,10,40,50,parallel,1,100,0,0,1,True,100,0.038,0.002,0.041,0.002,5
50,10,40,50,parallel,1,100,0,0,10,False,0,0.050,0.003,0.064,0.005,5
50,10,40,50,parallel,1,100,0,0,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,1,100,0,0,10,True,100,0.020,0.001,0.021,0.001,5
50,10,40,50,parallel,1,100,0,1,0.1,False,0,0.050,0.007,0.067,0.010,5
50,10,40,50,parallel,1,100,0,1,0.1,True,0,0.113,0.036,0.054,0.014,5
50,10,40,50,parallel,1,100,0,1,0.1,True,100,0.101,0.041,0.061,0.007,5
50,10,40,50,parallel,1,100,0,1,1,False,0,0.164,0.090,0.055,0.012,5
50,10,40,50,parallel,1,100,0,1,1,True,0,0.054,0.005,0.053,0.004,5
50,10,40,50,parallel,1,100,0,1,1,True,100,0.076,0.007,0.068,0.006,5
50,10,40,50,parallel,1,100,0,1,10,False,0,0.133,0.111,0.061,0.028,5
50,10,40,50,parallel,1,100,0,1,10,True,0,0.009,0.000,0.010,0.000,5
50,10,40,50,parallel,1,100,0,1,10,True,100,0.030,0.001,0.029,0.000,5
50,10,40,50,parallel,1,100,5,0,0.1,False,0,0.049,0.007,0.059,0.005,5
50,10,40,50,parallel,1,100,5,0,0.1,True,0,0.049,0.005,0.059,0.003,5
50,10,40,50,parallel,1,100,5,0,0.1,True,100,0.049,0.004,0.061,0.006,5
50,10,40,50,parallel,1,100,5,0,1,False,0,0.046,0.008,0.058,0.005,5
50,10,40,50,parallel,1,100,5,0,1,True,0,0.026,0.002,0.029,0.002,5
50,10,40,50,parallel,1,100,5,0,1,True,100,0.037,0.003,0.045,0.006,5
50,10,40,50,parallel,1,100,5,0,10,False,0,0.051,0.002,0.062,0.004,5
50,10,40,50,parallel,1,100,5,0,10,True,0,0.009,0.000,0.009,0.000,5
50,10,40,50,parallel,1,100,5,0,10,True,100,0.019,0.001,0.022,0.001,5
50,10,40,50,parallel,1,100,5,1,0.1,False,0,0.101,0.083,0.076,0.029,5
50,10,40,50,parallel,1,100,5,1,0.1,True,0,0.103,0.035,0.062,0.012,5
50,10,40,50,parallel,1,100,5,1,0.1,True,100,0.099,0.048,0.066,0.004,5
50,10,40,50,parallel,1,100,5,1,1,False,0,0.146,0.070,0.069,0.021,5
50,10,40,50,parallel,1,100,5,1,1,True,0,0.052,0.005,0.052,0.006,5
50,10,40,50,parallel,1,100,5,1,1,True,100,0.075,0.003,0.065,0.006,5
50,10,40,50,parallel,1,100,5,1,10,False,0,0.182,0.119,0.047,0.007,5
50,10,40,50,parallel,1,100,5,1,10,True,0,0.009,0.000,0.010,0.000,5
